num_WE,num_WF,we,wf,revenue
0,8,0.0,1.382733916092313,216.72522356494864
0,8,0.0,1.107265202577313,178.65616450143165
0,8,0.0,0.02897343895857407,69.15827488073757
0,8,0.0,9.730407963845849,174.9611753908459
0,8,0.0,4.186333379888289,235.8233566632068
1,7,5.368970684200185,7.047571907945084,165.80253080381956
1,7,0.3974932356233518,9.75672314847301,129.7190809203057
1,7,5.370509429205239,2.1239302662723247,154.13047944560867
1,7,0.5733868105077811,0.0,121.41858704724937
1,7,5.779275317219721,0.03302256252460367,127.0807888278758
2,6,11.55212876251953,0.0,139.20319431122812
2,6,4.724245881218181,-0.19970391199078374,204.85755181469676
2,6,0.0,1.142225024875458,184.4220663486335
2,6,2.5591018129167296,2.879266642902765,154.2374680759203
2,6,5.576868317819681,6.433839827894062,187.00296946122825
3,5,2.6819357824945627,8.116246782568293,210.28309175552585
3,5,0.9529838394378807,-0.00041010360048154837,137.91840467800472
3,5,0.47627971081880016,0.0,60.73625442637133
3,5,0.11177243740610532,0.0,153.72973137176103
3,5,2.2723356007787867,5.821248118990656,129.4501042639447
4,4,0.1927713689927919,9.855220465711348,84.60224086752713
4,4,7.01409198106893,3.1706769816578984,231.4176239033256
4,4,2.2996170154902416,0.0,118.49319445987159
4,4,0.08572884972477635,3.3948882635536606,130.866706112835
4,4,2.0276903365709646,0.0,117.88166332604541
5,3,0.20207617801919575,12.941388385071754,180.4706161182647
5,3,-0.06251201347657442,3.214725210181342,225.44960555801777
5,3,2.3574232571780094,0.33312903573909836,188.17083183332898
5,3,0.6004304263089217,0.5946628010794424,118.81036966690809
5,3,0.0,7.831299924841794,224.20062540949937
6,2,4.670292775991431,7.157910199159932,112.72777473333228
6,2,4.288280499158553,0.3060302417232803,216.42029351777413
6,2,-0.04122002551406467,0.28849700964010516,144.2388661696279
6,2,-0.08311308901484615,8.752933578951911,104.80109299699686
6,2,-0.0011024881879855286,7.222053087643808,211.53319125748845
7,1,0.5038472121224116,-4.005226312052496,182.7272032025848
7,1,-0.002032774429679307,7.995319255509884,174.64665455364775
7,1,0.3659355238769244,0.0,144.798095033701
7,1,6.545153026339495,2.1535154987379883,178.91419759705587
7,1,0.1019905900278566,0.26325916638872116,191.84536398367845
8,0,1.258085118291973,0.0,209.98029556838975
8,0,3.697469725348931,0.0,202.8864799002437
8,0,0.8004561066519962,0.0,198.5274066109812
8,0,-0.06513515016726856,0.0,193.30769333234107
8,0,0.5315155591099021,0.0,227.72863111320376
