num_WE,num_WF,we,wf,revenue
0,8,0.0,3.682319221742631,113.70815908301442
0,8,0.0,1.0602299817714567,166.1025372797689
0,8,0.0,24.716281280111758,180.24811898998504
0,8,0.0,2.3084470333154616,72.35612892082837
0,8,0.0,0.0,133.58192444347216
0,8,0.0,12.523334218921528,141.92036800643825
1,7,3.6631120483237662,0.0,125.27083398288059
1,7,3.6651070368681964,-0.0016685735253574308,179.6921208810775
1,7,6.761380902602683,19.269878134138644,101.03146729248849
1,7,4.080769403523094,24.78630478322033,131.49881570333537
1,7,5.292858859631631,11.81752018917166,82.36462900004493
1,7,-0.00044581176132929556,7.729831212810424,84.21056466088218
2,6,24.580761381248692,7.027104559646414,168.4604083400176
2,6,4.753670428524432,35.9981065561237,117.06188000405473
2,6,7.234929959396087,23.906766188793284,85.0184514819734
2,6,3.128179729019692,0.0,78.6745112084324
2,6,7.273752654575155,11.390679192834845,121.95696520799855
2,6,11.42144648654454,23.898808708843074,94.32138234322281
3,5,2.4385701619910245,33.16243265149567,103.62453788173673
3,5,9.143817745458072,37.27057055770743,75.50384284540918
3,5,10.018249768022613,8.944143980648047,185.4177287034182
3,5,10.261073127989327,2.8210061357283855,105.36354655905708
3,5,14.445907321018602,4.420265679696291,228.049514945983
3,5,18.145238565570878,4.52025635239103,213.2625014847848
4,4,3.726649901967079,7.541128635470088,146.34284747235702
4,4,18.007677075416453,0.3778057494765399,147.03742816336174
4,4,2.422502175239707,19.14811314794631,100.52333625072242
4,4,10.370320014123536,2.4351130297931274,83.62899269770338
4,4,-0.0012694302647986433,9.962304440654286,138.34559180906137
4,4,23.58652915164693,0.5723960693060435,144.72186774884685
5,3,9.767674760206397,0.9359551320012072,168.2927599244819
5,3,-0.2383679252796913,0.0,78.66145788843576
5,3,2.553608078440834,10.070784007013806,143.268496697599
5,3,9.189568789243634,10.102984916413682,176.90152651861214
5,3,21.504823461282683,16.19533067209189,169.22347065804485
5,3,19.09906603961369,8.354970795193694,246.38593635363574
6,2,3.224383163089028,16.760373816904192,127.41231542656004
6,2,2.0269501201928115,42.31570702624222,209.8389352068699
6,2,6.342702616578087,7.305814196865782,162.5822168296803
6,2,9.453702432037666,23.320548337859982,125.9903201432262
6,2,9.306001557338677,2.3399764538697276,105.54857114194948
6,2,4.882445109102537,5.829006064852264,191.90009168134733
7,1,-0.05124233388404065,33.68722116764806,211.72152138457682
7,1,2.9439854401717014,6.873363773273908,222.5303164803034
7,1,11.817565010286543,18.590774091766676,106.20252064041259
7,1,4.193316837252896,0.0,140.88231285770507
7,1,8.998081569905416,40.4559909783075,126.17130739020382
7,1,0.18779489625527024,14.734290426103573,113.38005129895782
8,0,5.961566289629101,0.0,148.52394030113996
8,0,-5.726979676065117,0.0,251.57926954614587
8,0,0.6745891461291613,0.0,175.46972605801173
8,0,-0.0001445694359105687,0.0,109.34516584822379
8,0,-0.0010103909622181106,0.0,152.35637693708026
8,0,8.809309352247926,0.0,196.92057811842932
